n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
74,89,372,393,155,58,53,2,0,21,15,2,0,3,5,6,0,2,14,0,15,0,4,2,10,1,1,0,1,59,44,15,8,78.37837837837837,46.83783783783784,32.851351351351326,55.4054054054054,99.55056309700012,4,3,2,1,0
84,95,477,494,204,60,53,5,0,20,16,0,0,1,8,3,0,5,20,7,11,0,2,1,7,2,3,0,0,54,48,6,9,71.42857142857143,50.07142857142857,31.342857142857138,50.0,99.63081479072571,4,1,4,0,2
84,95,477,494,204,60,53,5,0,20,16,0,0,1,8,3,0,5,20,7,11,0,2,1,7,2,3,0,0,54,48,6,9,71.42857142857143,50.07142857142857,31.342857142857138,50.0,99.63081479072571,4,1,4,0,2
387,451,2215,2279,911,217,194,15,0,118,24,29,0,0,34,4,0,32,86,27,64,0,20,4,18,2,0,0,5,224,196,30,40,56.07235142118863,43.39276485788114,27.18966408268734,44.96124031007752,99.74098205566406,53,10,31,2,8
268,287,1450,1469,588,178,150,9,0,67,30,7,0,3,32,5,0,32,63,17,19,0,6,0,20,3,1,0,2,184,167,20,29,66.4179104477612,44.97014925373134,33.61028192371477,49.25373134328358,98.72900247573853,29,17,28,5,5
449,505,2543,2599,1064,209,183,10,0,150,31,17,0,5,31,6,0,38,123,18,56,0,12,2,22,2,1,0,2,291,253,37,58,46.5478841870824,39.0445434298441,7.068819599109112,49.88864142538976,99.54617619514465,11,5,8,1,3
101,123,628,650,255,76,68,3,0,36,4,2,0,2,13,0,0,15,20,4,22,0,5,0,2,1,0,0,1,72,58,14,10,75.24752475247524,35.73267326732673,8.224422442244212,56.43564356435643,99.84851479530334,21,6,5,6,4
253,304,1468,1519,615,153,133,4,5,89,13,6,0,2,14,4,0,34,63,5,51,0,8,0,10,0,0,0,4,167,133,38,26,60.47430830039525,35.719367588932805,-15.253952569169968,54.54545454545454,99.87491965293884,24,15,21,2,2
371,426,2163,2220,887,204,172,11,3,106,31,3,0,5,26,4,0,38,93,33,55,0,15,3,19,2,1,0,5,231,198,34,36,54.98652291105122,39.59299191374663,16.86841460426367,48.517520215633425,99.5371401309967,167,40,28,21,13
84,93,517,526,209,71,62,3,1,18,15,4,0,1,15,1,0,7,15,6,9,0,1,0,3,5,0,0,0,58,50,8,4,84.52380952380952,38.166666666666664,16.27380952380952,48.80952380952381,99.77790117263794,18,5,5,4,2
257,289,1385,1417,588,146,126,14,0,78,28,2,0,5,23,4,0,24,66,10,32,0,9,1,19,0,1,0,0,188,165,24,18,56.809338521400775,51.45136186770428,38.926903835464145,52.52918287937744,99.75268840789795,47,6,1,3,0
254,299,1473,1518,600,151,131,12,2,69,27,6,1,6,19,2,0,16,59,29,45,0,10,0,15,3,0,0,0,143,121,21,24,59.4488188976378,45.181102362204726,31.29002624671917,46.45669291338583,99.78355169296265,29,12,7,6,2
302,341,1605,1644,671,185,163,11,1,81,30,12,0,5,27,3,0,23,72,30,39,0,10,0,8,10,0,0,2,183,151,29,38,61.258278145695364,46.78145695364238,34.12492474413004,46.026490066225165,99.7011125087738,38,18,20,6,7
302,341,1605,1644,671,185,163,11,1,81,30,12,0,5,27,3,0,23,72,30,39,0,10,0,8,10,0,0,2,183,151,29,38,61.258278145695364,46.78145695364238,34.12492474413004,46.026490066225165,99.7011125087738,38,18,20,6,7
121,143,645,667,254,89,77,4,0,34,15,6,1,0,13,2,0,10,21,9,22,0,6,0,9,2,0,0,2,73,67,8,9,73.55371900826447,45.611570247933884,39.303719008264466,48.760330578512395,99.14996027946472,25,10,14,3,4
121,143,645,667,254,89,77,4,0,34,15,6,1,0,13,2,0,10,21,9,22,0,6,0,9,2,0,0,2,73,67,8,9,73.55371900826447,45.611570247933884,39.303719008264466,48.760330578512395,99.14996027946472,25,10,14,3,4
281,349,1499,1567,609,190,163,10,0,59,32,13,0,2,21,6,0,32,50,53,65,0,8,0,17,2,0,0,1,161,145,16,24,67.61565836298932,46.330960854092524,37.02811387900356,44.48398576512456,99.91524815559387,20,6,9,3,3
255,291,1493,1529,616,177,148,10,0,75,29,1,0,6,19,2,0,36,58,17,36,0,8,0,18,3,0,0,2,186,166,21,27,69.41176470588235,42.21568627450981,23.480392156862763,57.25490196078431,99.80529546737671,20,9,8,5,3
127,139,776,788,316,94,75,8,0,35,15,1,0,0,16,0,0,11,27,9,13,0,5,1,9,2,0,0,2,79,66,13,7,74.01574803149606,46.79527559055118,28.392716535433067,48.031496062992126,99.90051984786987,12,5,6,2,4
420,468,2466,2514,1024,240,196,19,2,100,63,3,0,10,26,12,0,32,86,40,48,0,13,2,31,9,1,0,6,260,207,47,37,57.14285714285714,43.857142857142854,25.418546365914754,48.80952380952381,99.95659589767456,33,15,16,3,5
305,337,1804,1836,753,203,170,16,0,81,31,4,1,9,27,6,0,30,68,30,32,0,7,2,18,2,3,0,2,185,161,22,29,66.55737704918033,45.59016393442623,26.46209016393442,49.50819672131148,99.96335506439209,66,21,30,6,3
392,443,2314,2365,973,250,208,19,0,122,44,10,0,8,31,6,0,39,96,10,54,0,7,2,29,4,0,0,2,273,226,47,43,63.775510204081634,44.51020408163265,24.029135338345856,54.33673469387755,99.69002604484558,153,15,27,5,10
215,243,1197,1225,504,159,132,13,0,61,16,3,0,3,21,4,1,26,44,22,28,0,7,1,12,1,1,0,1,138,117,21,20,73.95348837209302,51.46511627906977,37.089445438282645,49.30232558139535,99.92055892944336,30,13,12,4,3
439,484,2516,2561,1041,253,203,17,0,131,60,4,0,11,41,9,0,34,103,24,42,0,15,2,37,6,1,0,7,305,279,27,43,57.630979498861045,43.30523917995444,26.042074232882204,53.75854214123007,97.68896698951721,102,29,28,16,14
230,274,1315,1359,558,154,124,11,0,60,33,8,0,12,22,2,0,28,38,7,44,0,11,2,15,4,1,0,5,172,137,34,21,66.95652173913044,46.17391304347826,27.39525691699603,57.826086956521735,99.8605489730835,25,4,5,3,4
